City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Gogrial,SS,8.5332,28.1004,88.41,38,60,4.7,broken clouds
281,Sao Marcos,BR,-28.9711,-51.0681,43.2,98,39,1.97,scattered clouds
282,Ulety,RU,51.3572,112.4849,74.77,38,57,9.22,broken clouds
283,Wawa,NG,9.9022,4.4192,73.26,85,100,3.56,light rain
284,Torrox,ES,36.7579,-3.9523,74.23,68,0,5.99,clear sky
285,Moussoro,TD,13.6408,16.4901,93.92,27,65,5.03,broken clouds
286,Bilaspur,IN,22.0833,82.15,94.48,44,35,7.49,scattered clouds
287,Ushtobe,KZ,45.2514,77.9838,75.85,24,42,22.93,scattered clouds
288,Chadiza,ZM,-14.0678,32.4392,58.51,59,1,5.03,clear sky
289,Sarkand,KZ,45.41,79.9186,68.9,41,38,10.31,scattered clouds
290,Ponta Do Sol,PT,32.6667,-17.1,68.72,77,0,5.3,clear sky
291,Tumut,AU,-35.3,148.2167,50.99,83,100,2.77,overcast clouds
292,Conde,BR,-7.2597,-34.9075,69.26,100,0,5.75,clear sky
293,Havelock,US,34.8791,-76.9013,78.75,92,55,1.99,broken clouds
294,Vinh,VN,18.6667,105.6667,81.43,84,100,6.89,very heavy rain
295,Hay River,CA,60.8156,-115.7999,46.36,97,78,5.66,broken clouds
296,Vila,PT,42.0304,-8.1588,57.7,78,6,4.34,clear sky
297,Shakawe,BW,-18.3667,21.85,50.25,46,0,4.59,clear sky
298,Faanui,PF,-16.4833,-151.75,78.4,81,61,16.13,broken clouds
299,Eyl,SO,7.9803,49.8164,86.23,46,81,27.16,broken clouds
300,Seymchan,RU,62.8833,152.4333,64.85,28,13,2.75,few clouds
301,Arlit,NE,18.7369,7.3853,90.7,12,0,8.9,clear sky
302,Sencha,UA,50.2548,33.346,64.22,85,92,8.52,overcast clouds
303,Auki,SB,-8.7676,160.7034,82.78,69,38,1.16,scattered clouds
304,Villazon,BO,-22.0866,-65.5942,33.12,45,0,0.98,clear sky
305,Stokmarknes,NO,68.5646,14.9108,55.49,96,100,4.05,overcast clouds
306,Esperance,AU,-33.8667,121.9,62.44,71,100,10.58,overcast clouds
307,Tupiza,BO,-21.45,-65.7167,40.44,38,0,0.69,clear sky
308,Xiaoweizhai,CN,26.1903,107.5125,83.75,67,71,4.16,broken clouds
309,Luderitz,NA,-26.6481,15.1594,62.55,56,74,3.06,broken clouds
310,Pangnirtung,CA,66.1451,-65.7125,30.65,93,63,2.51,broken clouds
311,Touros,BR,-5.1989,-35.4608,72.5,92,97,10.76,overcast clouds
312,San Cristobal,VE,7.7669,-72.225,64.02,97,26,3.69,scattered clouds
313,Tuktoyaktuk,CA,69.4541,-133.0374,39.36,82,93,9.06,overcast clouds
314,Copala,MX,16.65,-98.9833,77.27,86,100,2.1,overcast clouds
315,Buala,SB,-8.145,159.5921,82.9,68,13,8.88,few clouds
316,Nouadhibou,MR,20.931,-17.0347,68.4,79,63,6.22,broken clouds
317,Sorland,NO,67.667,12.6934,49.86,71,75,8.05,broken clouds
318,Chicama,PE,-7.8447,-79.1469,65.64,85,53,4.16,broken clouds
319,Makhinjauri,GE,41.6739,41.694,67.86,77,75,3.44,broken clouds
320,Aldan,RU,58.6031,125.3894,49.86,85,100,6.62,overcast clouds
321,Oranjestad,AW,12.524,-70.027,79.9,86,55,25.97,broken clouds
322,Bom Jesus,BR,-9.0744,-44.3586,66.78,62,53,1.1,broken clouds
